TOWN	NTRACTS	LON	LAT	CRIM	ZN	INDUS	CHAS_PROP	NOX	RM	AGE	DIS	RAD	TAX	PTRATIO	B	LSTAT	CMEDV
Lincoln	1	-71.189	42.2525	0.01381	80	0.46	0	0.422	7.875	32	5.6484	4	255	14.4	394.23	2.97	50
Concord	3	-71.227333	42.277667	0.041483	80	1.52	0	0.404	7.222667	36.333333	7.309	2	329	12.6	381.136667	6.436667	32.733333
Sudbury	2	-71.2535	42.2325	0.02464	95	1.47	0	0.403	7.055	14.6	7.6534	3	402	17	390.6	4.505	33.9
Wayland	2	-71.21625	42.20675	0.02811	82.5	2.03	0	0.415	6.886	27.05	6.27	2	348	14.7	394.575	5.27	33.2
Weston	2	-71.199	42.2189	0.027595	95	2.68	0	0.4161	7.9435	32.55	5.118	4	224	14.7	391.665	3.345	49.25
Waltham	11	-71.140345	42.228027	0.235018	0	10.59	0.454545	0.489	5.868	56.872727	3.949309	4	277	18.6	387.929091	16.666364	23.1
Watertown	4	-71.105225	42.22175	0.085168	0	13.89	0.75	0.55	6.2135	81.825	3.19645	5	276	16.4	394.055	12.905	24.125
Newton	18	-71.125256	42.202794	0.449906	0	6.2	0.277778	0.505667	7.212333	70.511111	3.436522	8	307	17.4	382.967222	7.286667	33.544444
Natick	6	-71.2119	42.175617	0.10414	30	4.93	0	0.428	6.471667	40.133333	6.5205	6	300	16.6	382.753333	8.986667	23.333333
Framingham	10	-71.25432	42.17787	0.209447	22	5.86	0	0.431	6.4824	36.45	8.02806	7	330	19.1	385.273	8.291	25.32
Ashland	2	-71.27925	42.15285	0.041835	80	3.64	0	0.392	5.992	25.55	9.2203	1	315	16.4	394.035	7.91	21.4
Sherborn	1	-71.223	42.145	0.01538	90	3.75	0	0.394	7.454	34.2	6.3361	3	244	15.9	386.34	3.11	44
Brookline	12	-71.077133	42.202167	0.63063	20	3.97	0	0.635	7.406167	83.558333	2.13905	5	264	13	388.7975	8.146667	38.025
Dedham	5	-71.09884	42.1452	0.17768	20	6.96	0.4	0.464	6.449	46.08	4.2119	3	223	18.6	392.524	9.51	25.32
Needham	5	-71.1396	42.17166	0.079644	40	6.41	0.6	0.447	6.8374	36.88	4.42704	4	254	17.6	394.68	4.782	31.96
Wellesley	4	-71.169125	42.183325	0.086125	20	3.33	0.25	0.4429	7.31125	45.9	4.813	5	216	14.9	388.3775	4.0525	40.475
Dover	1	-71.173	42.1475	0.01501	90	1.21	1	0.401	7.923	24.8	5.885	1	198	13.6	395.52	3.16	50
Medfield	1	-71.18	42.1105	0.00906	90	2.97	0	0.4	7.088	20.8	7.3073	1	285	15.3	394.72	7.85	32.2
Millis	1	-71.2135	42.1	0.01096	55	2.25	0	0.389	6.453	31.9	7.3073	1	300	15.3	394.72	8.23	22
Norfolk	1	-71.195	42.0675	0.01965	80	1.76	0	0.385	6.23	31.5	9.0892	1	241	18.2	341.6	12.93	20.1
Walpole	3	-71.145167	42.089833	0.042527	52.5	5.32	0	0.405	6.363	33.266667	7.3172	6	293	16.6	388.506667	8.083333	23.433333
Westwood	3	-71.126167	42.131667	0.05001	80	4.95	0	0.411	6.879667	26.333333	5.1167	4	245	19.2	396.9	3.863333	31.233333
Norwood	5	-71.12138	42.11232	0.097742	0	13.92	0	0.437	6.2306	40.16	5.84924	4	289	16	396.09	9.696	24.32
Sharon	3	-71.107833	42.068333	0.054813	70	2.24	0	0.4	6.752333	25.833333	7.8278	5	358	14.8	376.893333	5.26	25.433333
Canton	3	-71.078833	42.105667	0.07601	34	6.09	0	0.433	6.689	25.5	5.4917	7	329	16.1	389.93	7.676667	27.166667
Milton	4	-71.044125	42.15325	0.058572	33	2.18	0	0.472	7.03025	60.35	3.418475	7	222	18.4	395.21	7.465	31.525
Quincy	12	-71.006783	42.1584	0.571923	0	9.9	0	0.544	6.037833	72.408333	3.399042	4	304	18.4	391.7775	10.9075	20.333333
Braintree	8	-70.9973	42.126162	0.257713	0	7.38	0	0.493	6.224	44.775	4.936475	5	287	19.6	395.77625	7.95625	22.575
Randolph	3	-71.031333	42.108667	0.059617	0	3.24	0	0.46	6.115	25.066667	5.434267	4	430	16.9	375.406667	8.8	20.566667
Holbrook	2	-71.00375	42.088	0.042445	35	6.06	0	0.4379	5.8685	25.85	6.6407	1	304	16.9	378.135	10.13	18.25
Weymouth	8	-70.968312	42.125275	0.042755	0	5.19	0	0.515	6.054875	44.775	5.5231	5	224	20.2	394.7075	8.5425	20.0375
Cohasset	1	-70.8875	42.1465	0.01301	35	1.52	0	0.442	7.241	49.3	7.0379	1	284	15.5	394.74	5.49	32.7
Hull	1	-70.915	42.16	0.02498	0	1.89	0	0.518	6.54	59.7	6.2669	1	422	15.9	389.96	8.65	16.5
Hingham	2	-70.93475	42.13525	0.02796	55	3.78	0	0.484	6.785	42.25	6.09875	5	370	17.6	392.435	5.895	27.55
Rockland	2	-70.94855	42.0775	0.046375	0	4.39	0	0.442	5.956	50.4	8.0136	3	352	18.8	375.125	11.6	17.35
Hanover	1	-70.9275	42.0795	0.0187	85	4.15	0	0.429	6.516	27.7	8.5353	4	351	17.9	392.43	6.36	23.1
Norwell	1	-70.92	42.1016	0.01501	80	2.01	0	0.435	6.635	29.7	8.344	4	280	17	390.94	5.99	24.5
Scituate	2	-70.844	42.1225	0.04555	40	1.25	0	0.429	6.7145	39.45	8.7921	1	335	19.7	393.375	5.935	24.75
Marshfield	2	-70.82	42.06825	0.07597	60	1.69	0	0.411	6.2315	27.2	10.7103	4	411	18.3	381.555	6.64	21.35
Duxbury	1	-70.83	42.0485	0.01709	90	2.02	0	0.41	6.728	36.1	12.1265	5	187	17	384.46	4.5	30.1
Pembroke	2	-70.85275	42.041	0.0748	80	1.91	0	0.413	5.7995	20.7	10.5857	4	334	22	379.42	6.81	19.4
Boston-Allston-Brighton	8	-71.089525	42.210313	4.821889	0	18.1	0.5	0.77	6.0825	89.675	2.33515	24	666	20.2	376.785	12.72875	20.9125
Boston-Back-Bay	6	-71.0535	42.20875	5.969583	0	18.1	0.333333	0.6745	5.47	93.166667	1.578333	24	666	20.2	317.925	7.788333	32.4
Boston-Beacon-Hill	3	-71.0412	42.2162	8.01277	0	18.1	0.666667	0.643333	6.369	95.7	1.167033	24	666	20.2	368.693333	7.123333	50
Boston-North-End	2	-71.03425	42.2197	14.80315	0	18.1	0	0.668	4.522	100	1.1556	24	666	20.2	396.9	36.37	13.8
Boston-Charlestown	6	-71.039117	42.226467	29.201948	0	18.1	0	0.671	6.721167	96.35	1.367983	24	666	20.2	390.726667	20.1	12.65
Boston-East-Boston	12	-71.020708	42.226208	13.605003	0	18.1	0	0.697583	5.330667	96.108333	1.638817	24	666	20.2	383.896667	25.330833	11.508333
Boston-South-Boston	13	-71.027538	42.201462	21.20488	0	18.1	0	0.693	5.946538	95.4	1.6259	24	666	20.2	384.006154	22.001538	9.123077
Boston-Downtown	8	-71.044737	42.207075	20.895349	0	18.1	0	0.6125	5.5515	99.7375	1.433412	24	666	20.2	184.215	20.92875	18.8625
Boston-Roxbury	19	-71.054516	42.195226	17.864553	0	18.1	0	0.654053	6.087737	87.247368	1.912721	24	666	20.2	91.427895	20.876316	11.615789
Boston-Savin-Hill	23	-71.0414	42.1855	9.871088	0	18.1	0	0.728261	6.357826	95.047826	2.137543	24	666	20.2	227.763043	19.938696	13.234783
Boston-Dorchester	11	-71.044864	42.169391	5.74382	0	18.1	0	0.697182	6.192818	80.536364	2.769309	24	666	20.2	261.252727	15.157273	17.745455
Boston-Mattapan	6	-71.074133	42.171883	7.504827	0	18.1	0	0.572667	6.079167	78.65	2.8836	24	666	20.2	380.421667	16.288333	20.166667
Boston-Forest-Hills	7	-71.058771	42.188671	9.079616	0	18.1	0	0.605429	6.110143	90.857143	2.242343	24	666	20.2	362.675714	18.375714	17.371429
Boston-West-Roxbury	4	-71.095825	42.168575	5.020433	0	18.1	0	0.532	6.45375	64.225	3.5662	24	666	20.2	394.5425	8.9775	23.375
Boston-Hyde-Park	4	-71.072975	42.153875	4.144915	0	18.1	0	0.583	6.0505	56.7	3.603475	24	666	20.2	385.0625	12.5875	20.375
Chelsea	5	-71.02238	42.23752	0.15175	0	27.74	0	0.609	5.5854	94.26	1.87538	4	711	20.1	368.916	20.626	12.8
Revere	8	-71.003338	42.247438	0.228898	0	9.69	0	0.585	5.76275	60.925	2.570063	6	391	19.2	396.3075	15.09875	20.3625
Winthrop	5	-70.98836	42.22594	0.065132	0	11.93	0	0.573	6.5026	81.38	2.3655	1	273	21	395.228	7.75	21.58
