algorithm,sampleSize,rep,seed,shd_before,adjPrec_before,adjRec_before,adjF1_before,arrPrec_before,arrRec_before,arrF1_before,edges_before,violations_before,modelP_before,shd_after,adjPrec_after,adjRec_after,adjF1_after,arrPrec_after,arrRec_after,arrF1_after,edges_after,violations_after,modelP_after,delta_shd,delta_violations,delta_modelP
FGES,500,11,10500,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,6,0.169716,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.779560,-9.000000,-6,0.609844
BOSS,500,11,10500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.779560,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.779560,0.000000,0,-0.000000
PC,500,12,11500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,7,0.217793,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,2,0.848167,3.000000,-5,0.630373
FGES,500,12,11500,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,5,0.561619,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.004675,0.000000,-5,-0.556944
BOSS,500,12,11500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,5,0.131758,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.286396,-2.000000,-5,0.154638
PC,500,13,12500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,10,0.006874,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.431196,-1.000000,-10,0.424321
FGES,500,13,12500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,5,0.303498,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.431196,2.000000,-5,0.127698
BOSS,500,13,12500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,5,0.303498,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.431196,2.000000,-5,0.127698
PC,500,14,13500,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,1,0.509886,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.343844,-1.000000,-1,-0.166042
FGES,500,14,13500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,3,0.304652,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.343844,-3.000000,-3,0.039192
BOSS,500,14,13500,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,1,0.509886,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.343844,-1.000000,-1,-0.166042
PC,500,15,14500,7.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,10,0.010935,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.915157,3.000000,-10,0.904222
FGES,500,15,14500,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,5,0.291176,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19,1,0.397550,-2.000000,-4,0.106375
BOSS,500,15,14500,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,3,0.388265,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,3,0.819013,1.000000,0,0.430748
PC,500,16,15500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,9,0.004835,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.054204,0.000000,-9,0.049369
FGES,500,16,15500,0.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,15,2,0.077489,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.432257,7.000000,-2,0.354768
BOSS,500,16,15500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,3,0.258914,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.432257,2.000000,-3,0.173343
PC,500,17,16500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,6,0.211617,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.518904,-2.000000,-6,0.307287
FGES,500,17,16500,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.247587,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.247587,0.000000,0,0.000000
BOSS,500,17,16500,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.518904,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.518904,0.000000,0,-0.000000
PC,500,18,17500,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,8,0.084223,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,1,0.837729,-4.000000,-7,0.753506
FGES,500,18,17500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,4,0.884317,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.656702,2.000000,-4,-0.227615
BOSS,500,18,17500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,4,0.884317,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.656702,2.000000,-4,-0.227615
PC,500,19,18500,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,8,0.003796,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,2,0.014996,0.000000,-6,0.011200
FGES,500,19,18500,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,4,0.044275,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,3,0.025545,0.000000,-1,-0.018730
BOSS,500,19,18500,9.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,10,4,0.009572,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.170551,1.000000,-4,0.160980
PC,500,20,19500,8.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,6,0.231715,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.938861,-6.000000,-6,0.707146
FGES,500,20,19500,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,4,0.280263,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.938861,-10.000000,-4,0.658598
BOSS,500,20,19500,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.938861,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,0,0.938861,0.000000,0,-0.000000
PC,500,21,20500,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,14,0.000080,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.137263,-5.000000,-14,0.137183
FGES,500,21,20500,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,6,0.118302,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.361431,0.000000,-6,0.243129
BOSS,500,21,20500,2.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,8,0.042142,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.071696,3.000000,-8,0.029554
PC,500,22,21500,8.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,7,0.186982,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.487129,6.000000,-7,0.300148
FGES,500,22,21500,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,5,0.186982,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.904112,-3.000000,-5,0.717131
BOSS,500,22,21500,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,5,0.228885,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.443146,-2.000000,-5,0.214261
PC,500,23,22500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,6,0.175353,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.466431,1.000000,-6,0.291078
FGES,500,23,22500,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,4,0.827694,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.466431,4.000000,-4,-0.361263
BOSS,500,23,22500,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,4,0.950592,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.819045,4.000000,-4,-0.131547
PC,500,24,23500,11.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,11,0.000056,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.616755,-3.000000,-11,0.616698
FGES,500,24,23500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,5,0.060941,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.616755,3.000000,-5,0.555813
BOSS,500,24,23500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,5,0.060941,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.616755,3.000000,-5,0.555813
PC,500,25,24500,11.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,10,17,0.000080,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.903368,-5.000000,-17,0.903288
FGES,500,25,24500,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,2,0.079823,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,1,0.460052,-1.000000,-1,0.380229
BOSS,500,25,24500,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,1,0.701126,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.582598,1.000000,-1,-0.118528
PC,500,26,25500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,11,0.000103,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,5,0.693047,5.000000,-6,0.692945
FGES,500,26,25500,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,11,0.001104,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.680600,-7.000000,-11,0.679495
BOSS,500,26,25500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,4,0.181650,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.459449,2.000000,-4,0.277799
PC,500,27,26500,9.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,15,0.000046,0.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.006091,-9.000000,-15,0.006046
FGES,500,27,26500,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,5,0.682197,0.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.006091,-8.000000,-5,-0.676106
BOSS,500,27,26500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,1,0.130592,0.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.006091,-1.000000,-1,-0.124501
PC,500,28,27500,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,6,0.312910,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.749791,-5.000000,-6,0.436881
FGES,500,28,27500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,4,0.303737,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,1,0.798102,2.000000,-3,0.494364
BOSS,500,28,27500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,4,0.303737,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,1,0.798102,2.000000,-3,0.494364
PC,500,29,28500,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,7,0.020397,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.752645,3.000000,-7,0.732248
FGES,500,29,28500,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11,7,0.015018,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.936798,-5.000000,-7,0.921780
BOSS,500,29,28500,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,3,0.676771,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.936798,3.000000,-3,0.260026
PC,500,30,29500,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12,7,0.000902,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18,0,0.892061,-1.000000,-7,0.891159
FGES,500,30,29500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,6,0.000521,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.754786,-1.000000,-6,0.754265
BOSS,500,30,29500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,4,0.014598,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.599307,5.000000,-4,0.584709
PC,500,31,30500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,3,0.886082,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.965295,-2.000000,-3,0.079212
FGES,500,31,30500,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,2,0.953849,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.968626,1.000000,-2,0.014777
BOSS,500,31,30500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.877413,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.965295,2.000000,0,0.087882
PC,500,32,31500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,11,0.000100,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.511751,-2.000000,-11,0.511651
FGES,500,32,31500,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,5,0.012077,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.511751,0.000000,-5,0.499674
BOSS,500,32,31500,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,2,0.084071,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.430665,0.000000,-2,0.346593
PC,500,33,32500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,3,0.352430,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.675461,-2.000000,-3,0.323031
FGES,500,33,32500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,2,0.598533,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.494206,0.000000,-2,-0.104326
BOSS,500,33,32500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,2,0.214033,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.675461,1.000000,-2,0.461428
PC,500,34,33500,9.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,3,0.583526,0.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.325607,-9.000000,-3,-0.257919
FGES,500,34,33500,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,4,0.554857,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.610188,-9.000000,-4,0.055332
BOSS,500,34,33500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.610188,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.610188,0.000000,0,0.000000
PC,500,35,34500,9.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,13,10,0.004253,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.940160,0.000000,-10,0.935907
FGES,500,35,34500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,2,0.565771,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.799151,2.000000,-2,0.233381
BOSS,500,35,34500,4.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,2,0.565771,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.799151,2.000000,-2,0.233381
PC,500,36,35500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,10,7,0.059037,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.901322,-1.000000,-7,0.842285
FGES,500,36,35500,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10,7,0.143366,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,2,0.779107,1.000000,-5,0.635741
BOSS,500,36,35500,5.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,5,0.049166,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.830652,-1.000000,-5,0.781486
PC,500,37,36500,7.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,11,9,0.002721,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.968562,1.000000,-9,0.965841
FGES,500,37,36500,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,3,0.158571,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.611442,-4.000000,-3,0.452871
BOSS,500,37,36500,6.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,2,0.230258,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.968562,2.000000,-2,0.738303
PC,500,38,37500,12.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,13,0.000001,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0,0.501246,-10.000000,-13,0.501246
FGES,500,38,37500,8.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,4,0.082243,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.806770,0.000000,-4,0.724527
BOSS,500,38,37500,8.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,4,0.082243,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.806770,0.000000,-4,0.724527
PC,500,39,38500,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,12,0.002213,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.946611,-2.000000,-12,0.944397
FGES,500,39,38500,14.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18,4,0.066974,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19,1,0.845492,1.000000,-3,0.778518
BOSS,500,39,38500,1.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,3,0.120785,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0,0.946611,3.000000,-3,0.825825
PC,500,40,39500,9.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,12,14,0.000037,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.744300,-6.000000,-14,0.744263
FGES,500,40,39500,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,7,0.037789,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.744300,-6.000000,-7,0.706511
BOSS,500,40,39500,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.744300,3.000000,NA,0.000000,0.000000,0.000000,0.000000,0.000000,14,0,0.744300,0.000000,0,0.000000
PC,500,41,40500,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13,12,0.001436,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18,0,0.971577,4.000000,-12,0.970140
FGES,500,41,40500,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,3,0.808989,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.757443,1.000000,-3,-0.051546
BOSS,500,41,40500,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,3,0.808989,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17,0,0.757443,1.000000,-3,-0.051546
