spending_per_stdt	grad_rate	stdt_clss_stndng	rjct_rate	tst_scores	stdt_accept_rate	stdt_tchr_ratio	fac_salary
7604	26.75	9	35.082	54.938	54.165	19.6	58000
30889	95.25	90	83.613	87.5	75.316	10.8	87900
8825	60.25	25	31.997	64.375	28.684	14.4	65900
21988	33	10	49.07	55.625	48.435	7.5	55300
12859	50.5	47	19.88	68.75	30.909	11.8	60300
5118	49.25	9	25.402	61.111	38.895	21.7	48700
7370	52.5	8	15.475	50.625	46.601	14.8	51100
8484	61.25	28	17.338	62.5	45.52	21.2	63800
5492	42	25	21.277	63.889	70.296	15.2	51500
6463	36.75	9	9.783	54.875	44.09	19.4	61700
13294	86.25	37	34.484	73.125	29.821	13.1	78200
6475	27.75	26	20.915	63.889	63.469	16	56500
4629	32.5	15	0	58.333	67.019	20.7	48500
8045	55	27	11.058	61.563	53.387	19	63200
11051	58	24	21.998	62.625	33.381	11.2	62100
8250	72	36	19.372	64.75	32.633	14.1	62300
7568	76.5	47	19.104	70.938	46.358	18.5	60600
8742	60.5	26	21.717	62.375	41.434	17.7	66500
5354	54	30	20.668	61.111	64.737	16	38640
5719	45.5	40	27.023	63.889	57.687	15.9	47200
4643	51	19	15.367	61.438	70.19	16	48000
11969	72	22	45.677	68.75	46.652	8	63500
20100	65.75	70	36.316	71.563	36.887	13.2	81600
8973	51	37	30.61	65.625	50.839	16.1	57500
5877	45.75	13	16.434	61.111	70.354	15	45200
8632	45.5	13	24.534	59.438	29.625	14.5	66000
6082	32	24	18.912	58.333	45.325	20.8	50100
6037	47.75	11	30.874	61.111	37.563	16.8	46900
22661	86.5	82	53.367	78.125	36.586	10.7	78900
9899	55	28	30.016	57.75	40.858	26.3	64021
7347	72	20	20.892	63.889	38.752	20.9	61000
4968	35.75	28	12.928	63.889	60.791	14.8	55600
6176	49.667	16	21.52	57.438	35.889	16.8	44597
8924	56.5	43	45.561	67.688	37.93	18.6	60900
14640	60.5	61	42.442	67.938	34.033	11.3	73800
13601	66	45	32.65	70.625	41.048	10.2	66176
26252	94	90	84.067	83.75	55.874	7.7	81300
8170	60.75	35	18.603	66.25	33.715	15.4	65400
12994	71.5	59	21.787	75.313	26.185	16	72400
19931	88	86	79.082	84.063	50.634	8.8	74200
9755	69.5	37	45.173	69.125	23.214	19.7	78200
10317	49	22	55.437	58.625	33.852	15.8	81900
15098	64.5	24	13.842	63.75	38.903	12.9	55100
8788	38.25	13	34.305	61.111	39.222	20	44800
11820	66.5	40	37.316	69.444	34.066	13.3	62700
14871	73.5	51	27.003	75.313	27.886	13.2	68400
9105	65.25	24	43.188	70.25	24.086	18.8	70200
8246	72	71	59.905	71.563	28.356	17.5	68000
10911	53.5	39	55.488	69.125	31.952	16.8	72800
13441	50.75	23	39.032	60.625	26.299	15.9	72500
8789	73.75	28	28.254	68.438	30.576	13.5	65200
10494	45.333	17	30.633	59.313	47.152	14.8	66300
5333	36.25	11	8.82	61.111	68.159	18.5	50500
8048	60	44	14.644	65.875	58.724	17.8	58900
8584	55.75	29	24.946	62.188	43.683	16.8	57800
5864	34.5	24	32.523	59.313	52.591	24	54500
17539	89.5	73	53.175	79.25	34.366	10.2	70700
13436	75	44	27.006	72.188	25.073	14.7	66700
10679	24.25	15	28.313	48.125	8.964	14.8	42989
6330	45.75	36	20.888	59	46.06	18.6	55100
9506	39	32	15.261	61.813	38.709	23.1	59200
5943	32.5	25	2.362	61.111	60.78	14.5	52000
12494	54.5	80	26.801	62.688	20.249	13.6	60400
17347	54.5	95	44.032	71.313	23.57	29.2	68200
11890	70.25	95	59.587	75.125	39.133	18.4	76400
15433	66.75	90	50.912	66.25	29.22	19.8	62800
19762	63.75	92	52.84	71.813	37.938	18.6	69500
14570	57.5	85	31.175	64.375	25.841	21.5	66900
9937	56.5	90	32.387	66.25	24.356	21.4	66200
10204	43.5	98	32.794	66.938	23.424	21.1	62200
35863	79.5	70	54.988	81.25	31.275	7.2	84900
12977	41.5	25	19.554	62.125	39.382	17.3	67900
7815	55.5	32	25.935	66.875	35.15	23.6	64000
8121	62.5	25	38.115	65	30.266	17.1	72600
9934	65.75	21	32.014	64.813	38.809	18.4	65100
10183	61.75	30	40.616	62.688	40.843	15.2	55600
11096	51.25	57	28.799	70.313	38.325	16.1	60900
7283	55.25	35	29.531	62.5	40.182	13.5	56900
6158	18.75	37	30.808	61.125	56.76	21.7	62200
9034	35.5	23	4.416	61	53.717	14.1	52200
8312	73.25	56	27.503	71.25	51.91	16.2	61600
12301	25.75	21	32.216	58.563	48.373	12.8	54800
10862	52.75	21	12.635	69.444	42.681	19.3	67100
8833	47.5	25	34.216	63.889	65.842	20.2	56500
9991	27.25	17	35.851	55.556	55.434	17.9	55500
7073	49.75	21	16.215	61.813	39.853	16	54000
7012	29.5	24	38.691	64.625	41.039	16.7	56300
8695	51.25	24	31.438	67.375	34.651	16.6	65800
8663	60	14	16.847	63	27.275	17.8	64800
15827	52.75	37	21.293	66.25	31.083	14.1	60400
14237	80.25	65	35.803	73.438	41.934	18.8	72000
14674	27.5	27	32.862	64.938	51.992	17	67700
6108	47	31	12.009	66.667	51.923	21.6	48000
8636	51.75	31	26.885	69.444	60.913	15.7	50200
11048	29.25	44	45.704	66.667	68.051	11.2	49600
9685	41	45	2.403	70.5	46.212	13.4	56700
6429	20.5	18	36.051	61.111	60.545	15.8	49800
6355	43	19	6.926	63.889	61.928	15.5	58700
7670	62.75	29	25.283	64.563	34.603	16.7	56000
7377	24	27	15.437	61.111	58.661	19	52700
14803	75.75	71	63.257	69.938	57.546	13.4	62200
6763	46.25	20	27.05	59.938	36.464	15.1	50600
7425	43.333	21	23.074	59.375	67.61	19.9	46000
4695	25	15	38.033	60.688	73.968	23.6	51100
5996	32.75	11	28.997	56.875	43.465	20.5	45300
12566	93	76	57.831	76.375	53.714	13.6	73700
10405	35.75	30	14.139	66.667	54.317	15.5	55300
6589	40.5	25	12.71	63.75	38.558	17.9	53400
21396	87.75	82	52.978	79.313	50.293	11.3	85900
12249	57.75	21	18.539	61.25	46.383	14.1	65900
7719	56.25	15	24.651	60.188	25.488	17.3	65500
22304	74	53	36.865	71.875	24.006	12.4	70000
9425	53.25	24	23.543	61.313	37.195	17.4	50000
8098	55.667	24	16.944	59.625	42.874	16.9	54900
6259	54.75	15	12.393	61.111	74.158	26.7	40200
10008	35.25	26	45.789	65	45.006	20.2	56100
16063	62	42	27.294	68.438	31.66	12.9	78200
5580	36.75	20	15.482	58.333	62.612	23.4	48900
7472	43.25	26	27.5	62.313	60.41	14.9	57700
4125	23	18	29.527	56.75	64.257	26	55500
10463	68.25	43	11.085	68.875	47.319	10.6	57100
11660	73.5	26	27.487	65.625	31.25	14.3	59600
12775	88.75	74	71.553	75.875	52.232	13.2	69700
15419	52	54	27.911	64.375	48.814	13.9	64100
9805	64.25	33	25.406	68.75	44.764	15.2	65600
7217	28	17	27.082	61.111	49.977	16.9	58100
7649	34	22	19.578	61.111	76.253	15.1	53900
7015	57	26	12.531	60.625	68.768	16.8	50000
18346	77	54	34.541	73.375	36.814	11.1	70400
11163	35.25	19	29.301	61.813	42.249	13.8	61300
8662	64	34	29.515	67.813	39.194	13.9	62800
9475	47.5	31	16.06	58.625	37.961	16	54600
8106	48.25	23	17.179	57.563	38.715	18	49900
5419	42.25	22	25.577	61.111	38.469	25	57500
