  Sim  Alg  sampleSize  numMeasures  avgDegree    alpha  penaltyDiscount    AP    AR  AvgDTrue  AvgDEst  AvgDRatio  UtRandomness   SpT  AHPCBound  AHPC   AHP  AHRCBound  AHRC
   17    1     1000.00       200.00       2.00  1.00E-3                *  0.98  0.81      2.00     1.67       0.83          0.80  0.99       0.99  0.86  0.86       1.00  0.18
   17    2     1000.00       200.00       2.00     0.01                *  0.81  0.84      2.00     2.09       1.05          0.85  0.99       0.99  0.80  0.77       0.99  0.19
   17    3     1000.00       200.00       2.00     0.10                *  0.28  0.88      2.00     6.33       3.17          0.50  0.99       0.99  0.46  0.13       0.85  0.61
   18    1     1000.00       200.00       4.00  1.00E-3                *  1.00  0.76      4.00     3.04       0.76          0.67  0.98       0.98  0.68  0.68       1.00  0.48
   18    2     1000.00       200.00       4.00     0.01                *  0.97  0.80      4.00     3.32       0.83          0.69  0.98       0.98  0.66  0.65       1.00  0.53
   18    3     1000.00       200.00       4.00     0.10                *  0.62  0.85      4.00     5.48       1.37          0.64  0.98       0.98  0.64  0.40       0.97  0.69
   19    1     1000.00       200.00       6.00  1.00E-3                *  1.00  0.69      6.00     4.15       0.69          0.80  0.97       0.97  0.81  0.81       1.00  0.77
   19    2     1000.00       200.00       6.00     0.01                *  0.98  0.74      6.00     4.51       0.75          0.82  0.97       0.97  0.82  0.80       1.00  0.80
   19    3     1000.00       200.00       6.00     0.10                *  0.84  0.80      6.00     5.71       0.95          0.76  0.97       0.97  0.78  0.65       0.99  0.79
   20    1     1000.00       200.00       8.00  1.00E-3                *  1.00  0.62      8.00     5.01       0.63          0.86  0.96       0.96  0.87  0.87       1.00  0.85
   20    2     1000.00       200.00       8.00     0.01                *  0.99  0.67      8.00     5.38       0.67          0.84  0.96       0.96  0.87  0.86       1.00  0.86
   20    3     1000.00       200.00       8.00     0.10                *  0.93  0.72      8.00     6.19       0.77          0.81  0.96       0.96  0.83  0.77       1.00  0.83
