  Sim  Alg  sampleSize  numMeasures  avgDegree    alpha  penaltyDiscount    AP    AR  AvgDTrue  AvgDEst  AvgDRatio  UtRandomness   SpT  AHPCBound  AHPC   AHP  AHRCBound  AHRC
   11    2     1000.00        50.00       6.00     0.01                *  0.99  0.68      6.00     4.11       0.69          0.75  0.88       0.88  0.77  0.77       1.00  0.75
   11    3     1000.00        50.00       6.00     0.10                *  0.95  0.72      6.00     4.50       0.75          0.72  0.88       0.88  0.75  0.72       0.99  0.75
   12    1     1000.00        50.00       8.00  1.00E-3                *  0.99  0.53      8.00     4.30       0.54          0.71  0.84       0.84  0.77  0.77       1.00  0.74
   12    2     1000.00        50.00       8.00     0.01                *  0.99  0.56      8.00     4.58       0.57          0.74  0.84       0.84  0.79  0.78       0.99  0.76
   12    3     1000.00        50.00       8.00     0.10                *  0.97  0.62      8.00     5.12       0.64          0.69  0.84       0.84  0.75  0.72       0.99  0.72
   13    1     1000.00       100.00       2.00  1.00E-3                *  0.99  0.79      2.00     1.60       0.80          1.00  0.98       0.99  0.88  0.87       1.00  0.76
   13    2     1000.00       100.00       2.00     0.01                *  0.88  0.85      2.00     1.94       0.97          1.00  0.98       0.99  0.74  0.65       1.00  0.75
   13    3     1000.00       100.00       2.00     0.10                *  0.40  0.88      2.00     4.38       2.19          0.72  0.98       0.98  0.54  0.21       0.95  0.66
   14    1     1000.00       100.00       4.00  1.00E-3                *  1.00  0.77      4.00     3.08       0.77          0.74  0.96       0.96  0.86  0.85       1.00  0.81
   14    2     1000.00       100.00       4.00     0.01                *  0.97  0.80      4.00     3.31       0.83          0.83  0.96       0.96  0.84  0.81       1.00  0.81
   14    3     1000.00       100.00       4.00     0.10                *  0.76  0.85      4.00     4.51       1.13          0.60  0.96       0.96  0.67  0.50       0.98  0.69
   15    1     1000.00       100.00       6.00  1.00E-3                *  1.00  0.66      6.00     3.98       0.66          0.81  0.94       0.94  0.85  0.85       1.00  0.83
   15    2     1000.00       100.00       6.00     0.01                *  0.99  0.71      6.00     4.28       0.71          0.77  0.94       0.94  0.82  0.81       1.00  0.79
   15    3     1000.00       100.00       6.00     0.10                *  0.92  0.77      6.00     4.99       0.83          0.68  0.94       0.94  0.73  0.67       0.99  0.72
   16    1     1000.00       100.00       8.00  1.00E-3                *  1.00  0.58      8.00     4.69       0.59          0.80  0.92       0.92  0.81  0.81       1.00  0.79
   16    2     1000.00       100.00       8.00     0.01                *  0.99  0.62      8.00     5.03       0.63          0.82  0.92       0.92  0.81  0.80       1.00  0.78
   16    3     1000.00       100.00       8.00     0.10                *  0.95  0.69      8.00     5.78       0.72          0.77  0.92       0.92  0.75  0.71       0.99  0.73
   17    1     1000.00       200.00       2.00  1.00E-3                *  0.98  0.79      2.00     1.61       0.81          0.90  0.99       0.99  0.86  0.85       1.00  0.79
   17    2     1000.00       200.00       2.00     0.01                *  0.79  0.84      2.00     2.12       1.06          0.90  0.99       0.99  0.67  0.52       1.00  0.71
   17    3     1000.00       200.00       2.00     0.10                *  0.28  0.88      2.00     6.26       3.13          0.56  0.99       0.99  0.43  0.12       0.88  0.53
   18    1     1000.00       200.00       4.00  1.00E-3                *  1.00  0.74      4.00     2.99       0.75          0.78  0.98       0.98  0.88  0.87       1.00  0.86
   18    2     1000.00       200.00       4.00     0.01                *  0.95  0.79      4.00     3.31       0.83          0.74  0.98       0.98  0.82  0.78       1.00  0.82
   18    3     1000.00       200.00       4.00     0.10                *  0.61  0.84      4.00     5.51       1.38          0.62  0.98       0.98  0.62  0.37       0.97  0.64
   19    1     1000.00       200.00       6.00  1.00E-3                *  1.00  0.69      6.00     4.14       0.69          0.80  0.97       0.97  0.85  0.85       1.00  0.83
   19    2     1000.00       200.00       6.00     0.01                *  0.99  0.73      6.00     4.46       0.74          0.79  0.97       0.97  0.82  0.81       1.00  0.81
   19    3     1000.00       200.00       6.00     0.10                *  0.84  0.79      6.00     5.70       0.95          0.73  0.97       0.97  0.73  0.61       0.99  0.73
   20    1     1000.00       200.00       8.00  1.00E-3                *  1.00  0.62      8.00     4.95       0.62          0.85  0.96       0.96  0.85  0.85       1.00  0.83
   20    2     1000.00       200.00       8.00     0.01                *  1.00  0.67      8.00     5.38       0.67          0.81  0.96       0.96  0.83  0.83       1.00  0.81
   20    3     1000.00       200.00       8.00     0.10                *  0.94  0.73      8.00     6.28       0.79          0.74  0.96       0.96  0.77  0.72       0.99  0.75
